,code,listing_date,lot_size,mktcap,offer_price,listing_price,oversub_rate,app_lots_for_one_lot,one_lot_success_rate,last
1,02325.HK,2022/05/18,500,49.02,7.89,7.890,0.4,1手,14.100,+7.730%
2,02423.HK,2022/05/11,100,N/A,N/A,N/A,N/A,N/A,48.650,+2.500%
3,02352.HK,2022/04/29,200,1.98-2.57,11.90-15.40,11.900,3.4,6手,7.450,0.000%
4,02390.HK,2022/04/22,100,168.90,51.80,32.060,0.0,1手,18.260,-23.581%
5,02179.HK,2022/03/31,500,22.27,24.80,24.800,9.7,12手,21.600,+1.815%
6,02370.HK,2022/03/31,500,8.20-10.20,4.10-5.10,4.100,1.0,3手,1.850,+26.341%
7,09638.HK,2022/03/31,100,72.95-94.41,21.82-28.24,22.880,0.1,2手,22.400,-0.131%
8,00587.HK,2022/03/30,500,N/A,N/A,N/A,N/A,N/A,2.620,-2.300%
9,06655.HK,2022/03/28,100,N/A,N/A,N/A,N/A,N/A,9.160,-6.377%
10,06639.HK,2022/03/22,500,85.03,14.62,14.620,0.7,2手,15.760,-5.609%
11,07836.HK,2022/03/18,"105,000",12.51,10,10.000,N/A,N/A,9.000,-3.200%
12,00816.HK,2022/03/10,500,68.00-73.60,7.52-8.14,8.140,0.2,2手,3.930,-28.787%
13,09866.HK,2022/03/10,10,N/A,N/A,N/A,N/A,N/A,69.250,-0.688%
14,06663.HK,2022/03/07,"10,000",N/A,N/A,N/A,N/A,N/A,0.405,-11.450%
15,02157.HK,2022/02/23,"1,000",110.21-118.40,6.87-7.38,7.130,4.7,5手,5.430,+0.140%
16,01406.HK,2022/02/18,"1,250",8.00-15.00,1.60-3.00,1.600,5.2,8手,0.870,-3.750%
17,09878.HK,2022/02/18,100,164.39-183.51,43.00-48.00,43.000,0.7,3手,31.650,+4.884%
18,02121.HK,2022/01/27,100,147.10-152.69,26.30-27.30,26.300,12.9,15手,16.960,-25.475%
19,02250.HK,2022/01/17,"1,000",20.50-34.50,2.05-3.45,2.050,6.3,20手,1.600,+16.590%
0,06680.HK,2022/01/14,200,42.41-50.56,33.80-40.30,33.800,1.4,1手,22.400,-16.570%
1,02260.HK,2022/01/11,"2,000",5.28-6.91,1.10-1.44,1.220,12.7,20手,1.070,+0.820%
2,02295.HK,2021/12/31,"5,000",N/A,N/A,N/A,N/A,N/A,1.220,+0.694%
3,00020.HK,2021/12/30,"1,000","1,290.03-1,336.95",3.85-3.99,3.850,4.2,2手,2.680,+7.270%
4,02257.HK,2021/12/30,50,58.68-64.73,65.90-72.70,65.900,4.7,5手,56.850,+18.210%
